"File","Key","en","fr","ht","es"
"about","title","About Us","À propos de nous","Konsènan Nou","Sobre Nosotros"
"about","content","Learn more about Nouvo Ayiti 2075, our mission, and our vision for Haiti’s future.","","",""
"about","metaTitle","About - Nouvo Ayiti 2075","À propos - Nouvo Ayiti 2075","Konsènan Nou - Nouvo Ayiti 2075","Sobre Nosotros - Nouvo Ayiti 2075"
"about","metaDescription","Discover Nouvo Ayiti 2075's mission, vision, and commitment to restoring dignity, rebuilding hope, and renewing vision for Haiti.","Découvrez Nouvo Ayiti 2075. Apprenez-en davantage sur notre mission, notre équipe et notre vision pour restaurer la dignité et reconstruire l'espoir en Haïti.","Aprann plis sou Nouvo Ayiti 2075. Dekouvri misyon nou, ekip nou, ak vizyon nou pou retabli diyite epi rebati espwa nan Ayiti.","Conozca Nouvo Ayiti 2075. Descubra nuestra misión, nuestro equipo y nuestra visión para restaurar la dignidad y reconstruir la esperanza en Haití."
"about","intro","","Nouvo Ayiti 2075 est un mouvement dédié à restaurer la dignité, reconstruire l'espoir et renouveler la vision pour le peuple haïtien. Notre mission est d'unir les communautés, inspirer le leadership et créer un changement durable.","Nouvo Ayiti 2075 se yon mouvman ki dedye pou retabli diyite, rebati espwa, epi renouvle vizyon pou pèp Ayisyen an. Misyon nou se ini kominote yo, enspire lidèchip, epi kreye chanjman dirab.","Nouvo Ayiti 2075 es un movimiento dedicado a restaurar la dignidad, reconstruir la esperanza y renovar la visión para el pueblo de Haití. Nuestra misión es unir comunidades, inspirar liderazgo y crear un cambio sostenible."
"about","teamHeading","","Notre Équipe","Ekip Nou","Nuestro Equipo"
"about","teamIntro","","Nous sommes un collectif de dirigeants passionnés, de bénévoles et de membres de la communauté travaillant ensemble pour créer un avenir meilleur pour Haïti.","Nou se yon gwoup lidè pasyone, volontè, ak manm kominote k ap travay ansanm pou konstwi yon pi bon avni pou Ayiti.","Somos un colectivo de líderes apasionados, voluntarios y miembros de la comunidad que trabajan juntos para construir un futuro mejor para Haití."
"blog","title","Our Blog","Notre Blog","Blog Nou","Nuestro Blog"
"blog","subtitle","Stories, updates, and visions for the future.","Histoires, mises à jour et visions pour l'avenir.","Istwa, mizajou, ak vizyon pou lavni.","Historias, actualizaciones y visiones para el futuro."
"blog","moreStories","More Stories","Plus d'histoires","Plis Istwa","Más historias"
"blog","readMore","Read More","Lire plus","Li Plis","Leer más"
"blog","noPosts","No posts available yet.","Aucun article disponible pour le moment.","Pa gen okenn atik disponib pou kounye a.","Aún no hay publicaciones disponibles."
"blog","viewAll","View All Posts","Voir tous les articles","Gade Tout Atik yo","Ver todas las publicaciones"
"blog","metaTitle","Blog - Nouvo Ayiti 2075","Blog - Nouvo Ayiti 2075","Blog - Nouvo Ayiti 2075","Blog - Nouvo Ayiti 2075"
"blog","metaDescription","Discover stories, insights, and updates from Nouvo Ayiti 2075.","Découvrez des histoires, des réflexions et des mises à jour de Nouvo Ayiti 2075.","Dekouvri istwa, panse, ak mizajou ki sòti nan Nouvo Ayiti 2075.","Descubre historias, reflexiones y actualizaciones de Nouvo Ayiti 2075."
"contact","title","Contact Us","Contactez-nous","Kontakte Nou","Contáctanos"
"contact","address","848 Brickell Avenue Suite PH5, Miami FL 33131","848 Brickell Avenue Suite PH5, Miami FL 33131","848 Brickell Avenue Suite PH5, Miami FL 33131","848 Brickell Avenue Suite PH5, Miami FL 33131"
"contact","email","nouvoayiti2075@gmail.com","nouvoayiti2075@gmail.com","nouvoayiti2075@gmail.com","nouvoayiti2075@gmail.com"
"contact","phone","+1 (918) 640-8249","+1 (918) 640-8249","+1 (918) 640-8249","+1 (918) 640-8249"
"contact","metaTitle","Contact - Nouvo Ayiti 2075","Contact - Nouvo Ayiti 2075","Kontak - Nouvo Ayiti 2075","Contacto - Nouvo Ayiti 2075"
"contact","metaDescription","Get in touch with Nouvo Ayiti 2075. Contact us by email, phone, or visit our Miami office as we work together to restore dignity and rebuild hope for Haiti.","Contactez Nouvo Ayiti 2075 pour des questions, des collaborations ou pour rejoindre notre mouvement.","Antre an kontak ak Nouvo Ayiti 2075 pou kesyon, kolaborasyon, oswa pou w rantre nan mouvman an.","Ponte en contacto con Nouvo Ayiti 2075 para preguntas, colaboraciones o para unirte a nuestro movimiento."
"footer","copyright","Todos los derechos reservados.","Tous droits réservés.","Tout dwa rezève.","All rights reserved."
"footer","links.privacy","Política de Privacidad","Politique de confidentialité","Règleman sou vi prive","Privacy Policy"
